videoid,videoname,channelid,channelname,islive,views,comments,likes,dislikes,descr,descrurls,ad_type,advertiser,adfullurl,targetinginfo,datecollected,dateuploaded,uploadts,classification,testid,removed
Eh0Tiy5RPkM,,,,,,,,,,,,,,,1614203507,,,,2,True
1YrK2C2RYOk,"Patriot's Roundtable at Operation Classified Scott Bennett, Robyn Gritz, Sidney Powell & Kevin Shipp",UC8Cl9QaRtuW9CNjP7pP4BBQ,Jason Goodman,False,41568,253,1573,40,"A group of America's bravest patriots join me to discuss the overwhelming corruption we now face.  This interview was recorded live at John B. Wells Operation Classified in Dallas Texas on November 10, 2018

Special thanks to John B. Wells and Operation Classified Please visit https://www.caravantomidnight.com/ https://mikeflynndefensefund.org/ http://armypsyop.wixsite.com/shellgame https://squareup.com/market/sidney-powell-author https://www.fortheloveoffreedom.net/ https://www.gofundme.com/fighting-fbi-discrimination-and-cor http://www.patreon.com/crowdsourcethetruth http://paypal.me/crowdsourcethetruth https://www.redbubble.com/people/csthetruth%3Fref%3Dexplore-feed%26asc%3Du ","['https://www.caravantomidnight.com/', 'https://mikeflynndefensefund.org/', 'http://armypsyop.wixsite.com/shellgame', 'https://squareup.com/market/sidney-powell-author', 'https://www.fortheloveoffreedom.net/', 'https://www.gofundme.com/fighting-fbi-discrimination-and-cor', 'http://www.patreon.com/crowdsourcethetruth', 'http://paypal.me/crowdsourcethetruth', 'https://www.redbubble.com/people/csthetruth%3Fref%3Dexplore-feed%26asc%3Du']",preroll,,,,1614203511,"Nov 11, 2018",1541912400,,2,False
32lNKTDRCyw,,,,,,,,,,,,,,,1614203516,,,,2,True
827OvUC6Dzg,,,,,,,,,,,,,,,1614203520,,,,2,True
aRMLEe9XJZU,"Tom Fitton: If You're President and Want to Hold the Deep State Accountable, You Get Impeached!",UCGDaOZg2INC0Qg2Z203F1dA,Judicial Watch,False,3083,27,419,1,"Donate today! â–ºhttps://www.judicialwatch.org/donate/thank-youtube/  

Subscribe on YouTube! â–º http://jwatch.us/subscribe http://www.judicialwatch.org http://www.facebook.com/JudicialWatch http://twitter.com/JudicialWatch ","['https://www.judicialwatch.org/donate/thank-youtube/', 'http://jwatch.us/subscribe', 'http://www.judicialwatch.org', 'http://www.facebook.com/JudicialWatch', 'http://twitter.com/JudicialWatch']",preroll,,,,1614203523,"Dec 23, 2019",1577077200,,2,False
0IV9hP8Z99k,,,,,,,,,,,,,,,1614203528,,,,2,True
3S4UAgikGtU,Were Cullen's Affliction Predictions Depictions of Contradiction or a Rx for a Patreon Subscription?,UC8Cl9QaRtuW9CNjP7pP4BBQ,Jason Goodman,False,9835,69,-1,-1,"Three months ago, John Cullen redirected his investigatory efforts toward official Covid-19 data as published by the CDC.  Now that we have some perspective on the matter, we can look at this quarter's actual data in comparison to the predictions and start to adjust our understanding.

Watch John Cullen's Coronavirus Investigation Fridays on SubscribeStar and Patreonhttp://www.patreon.com/crowdsourcethetruth http://www.subscribestar.com/crowdsourcethetruth https://www.patreon.com/IAMJOHNCULLEN/ http://www.subscribestar.com/IAMJOHNCULLEN/ ","['http://www.patreon.com/crowdsourcethetruth', 'http://www.subscribestar.com/crowdsourcethetruth', 'https://www.patreon.com/IAMJOHNCULLEN/', 'http://www.subscribestar.com/IAMJOHNCULLEN/']",preroll,,,,1614203531,"Jun 19, 2020",1592539200,,2,False
fC81L0JyRnI,critical thinking - smoking bats 5 - REDUCE VIRAL LOAD,UCqXZf0F4GLSX1QXBUgPXhqg,clif high,False,35827,391,1883,52,,[],preroll,,,,1614203537,"Apr 7, 2020",1586232000,,2,False
4Em5YBXlKsw,What did I eat? ðŸ¤¢,UCVibVonRIVb-bwAbc0kwSyw,Live With Marie,False,49,11,14,0,"Seen this in the supermarket and I decided why not give it a try not my cup of tea I didnâ€™t really like it that much my first time trying and wonâ€™t be bought again.thanks for watching much love and God bless



Clothingline- https://teespring.com/stores/shop-with-marie https://etsy.me/3a6FyqP ","['https://teespring.com/stores/shop-with-marie', 'https://etsy.me/3a6FyqP']",preroll,,,,1614203542,"Jan 31, 2020",1580446800,,2,False
U5m4HNDNoJ4,Law Without the State - Stephan Kinsella on The Corbett Report,UCM6EbmEFrTbrQ_31bUx5h3w,Corbett Report Extras,False,12903,207,662,44,"SHOW NOTES AND MP3: https://www.corbettreport.com/%3Fp%3D31778 Stephan Kinsella joins us today to discuss the concept of law without the state. Is law and order possible without a state? What would that look like? And just what is ""the law,"" anyway? Find out more in this fascinating conversation on law, history, philosophy and anarchy.",['https://www.corbettreport.com/%3Fp%3D31778'],preroll,,,,1614203546,"Jun 25, 2019",1561435200,,2,False
